"filename", "language", "C", "comment", "blank", "total"
"/home/asemones/Documents/personal_code/dbase/src/db/backend/WAL.h", "C", 35, 4, 1, 40
"/home/asemones/Documents/personal_code/dbase/src/db/backend/option.h", "C", 3, 0, 0, 3
"/home/asemones/Documents/personal_code/dbase/src/ds/byte_buffer.h", "C", 1, 0, 0, 1
"/home/asemones/Documents/personal_code/dbase/src/ds/skiplist.h", "C", 1, 0, 1, 2
"/home/asemones/Documents/personal_code/dbase/src/tests/testrunner.c", "C", 3, 0, 0, 3
"/home/asemones/Documents/personal_code/dbase/src/tests/testwal.h", "C", 14, 0, 4, 18
"Total", "-", 57, 4, 6, 67
