"filename", "language", "C", "comment", "blank", "total"
"/home/asemones/Documents/personal_code/dbase/src/db/backend/WAL.h", "C", 18, 2, 2, 22
"/home/asemones/Documents/personal_code/dbase/src/db/backend/lsm.h", "C", 12, 0, 2, 14
"/home/asemones/Documents/personal_code/dbase/src/ds/byte_buffer.h", "C", 1, -1, 0, 0
"/home/asemones/Documents/personal_code/dbase/src/tests/test_util_funcs.h", "C", 3, 0, 0, 3
"/home/asemones/Documents/personal_code/dbase/src/tests/testlsm.h", "C", 6, 0, 0, 6
"/home/asemones/Documents/personal_code/dbase/src/tests/testrunner.c", "C", 3, 0, 0, 3
"/home/asemones/Documents/personal_code/dbase/src/tests/testwal.h", "C", 68, 1, 22, 91
"/home/asemones/Documents/personal_code/dbase/src/util/io.h", "C", 7, 0, 2, 9
"Total", "-", 118, 2, 28, 148
