"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/asemones/Documents/personal_code/dbase/src/db/backend/WAL.h", "C++", 23, 0, 0, 11, 34
"/home/asemones/Documents/personal_code/dbase/src/db/backend/compactor.h", "C++", -1, 0, -2, 1, -2
"/home/asemones/Documents/personal_code/dbase/src/db/backend/iter.h", "C++", 11, 0, 3, 0, 14
"/home/asemones/Documents/personal_code/dbase/src/db/backend/key-value.h", "C++", 12, 0, 3, 13, 28
"/home/asemones/Documents/personal_code/dbase/src/db/backend/lsm.h", "C++", 7, 0, 17, 1, 25
"/home/asemones/Documents/personal_code/dbase/src/db/backend/option.h", "C++", 9, 0, 0, 1, 10
"/home/asemones/Documents/personal_code/dbase/src/ds/frontier.h", "C++", 2, 0, 0, -2, 0
"/home/asemones/Documents/personal_code/dbase/src/ds/skiplist.h", "C++", 13, 0, 0, -3, 10
"/home/asemones/Documents/personal_code/dbase/src/tests/test_iter.h", "C++", 23, 0, 0, 1, 24
"/home/asemones/Documents/personal_code/dbase/src/tests/test_util_funcs.h", "C++", 30, 0, 0, 1, 31
"/home/asemones/Documents/personal_code/dbase/src/tests/testrunner.c", "C", 0, 1, 0, 0, 1
"Total", "-", 129, 1, 21, 24, 175
