"filename", "language", "C", "comment", "blank", "total"
"/home/asemones/Documents/personal_code/dbase/src/db/backend/WAL.h", "C", 4, 0, 0, 4
"/home/asemones/Documents/personal_code/dbase/src/db/backend/compactor.h", "C", 24, 0, -1, 23
"/home/asemones/Documents/personal_code/dbase/src/db/backend/dal/metadata.h", "C", 19, 0, -2, 17
"/home/asemones/Documents/personal_code/dbase/src/db/backend/indexer.h", "C", 51, 0, 0, 51
"/home/asemones/Documents/personal_code/dbase/src/db/backend/iter.h", "C", 14, 0, 0, 14
"/home/asemones/Documents/personal_code/dbase/src/db/backend/lsm.h", "C", 45, 1, 3, 49
"/home/asemones/Documents/personal_code/dbase/src/db/backend/sst_builder.h", "C", 7, 0, 0, 7
"/home/asemones/Documents/personal_code/dbase/src/ds/associative_array.h", "C", 2, 0, 0, 2
"/home/asemones/Documents/personal_code/dbase/src/ds/bloomfilter.h", "C", 9, 0, 0, 9
"/home/asemones/Documents/personal_code/dbase/src/ds/byte_buffer.h", "C", 2, 0, 0, 2
"/home/asemones/Documents/personal_code/dbase/src/ds/cache.h", "C", 9, 0, 0, 9
"/home/asemones/Documents/personal_code/dbase/src/ds/checksum.h", "C", 65, 1, 15, 81
"/home/asemones/Documents/personal_code/dbase/src/ds/frontier.h", "C", 2, 0, 0, 2
"/home/asemones/Documents/personal_code/dbase/src/ds/hashtbl.h", "C", 2, 0, 0, 2
"/home/asemones/Documents/personal_code/dbase/src/ds/linkl.h", "C", 10, 0, 0, 10
"/home/asemones/Documents/personal_code/dbase/src/ds/list.h", "C", 10, 0, 0, 10
"/home/asemones/Documents/personal_code/dbase/src/ds/skiplist.h", "C", 12, 0, 0, 12
"/home/asemones/Documents/personal_code/dbase/src/ds/structure_pool.h", "C", 11, 0, 0, 11
"/home/asemones/Documents/personal_code/dbase/src/tests/testcompactor.h", "C", 3, 0, -1, 2
"/home/asemones/Documents/personal_code/dbase/src/tests/testwal.h", "C", 1, 0, 0, 1
"/home/asemones/Documents/personal_code/dbase/src/util/error.h", "C", 23, 0, 11, 34
"Total", "-", 325, 2, 25, 352
